review_id,brand_name,store_name,review_title,review_comment,locale,rating,sentiment,reply_created_at,reply,gpt-4o,gpt-4o-mini
210625944,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,ホテルのお食事はおいしく、お部屋も良いのですが、チェックイン、チェックアウトに凄く時間がかかりますディズニーに行かれる方は、時間に余裕をもった方がよいですあと、喫煙所が狭く、換気機能が不十分です,ja,4,MIXED,2025-05-06 17:32:44,"この度は、数ある宿泊施設から当ホテルをお選びいただきまして誠にありがとうございました。当ホテル従業員一同、心より厚くお礼申し上げます。
チェックインに長時間お待たせしてしまいましたこと、深くお詫び申し上げます。
頂いたご意見は担当部門と共有し、より良い設備・サービスでお客様をお出迎えできますよう、全力で取り組んでまいります。
当ホテル従業員一同、心よりお待ち申し上げております。今後ともオリエンタルホテル東京べイを何卒よろしくお願い申し上げます。","この度はご利用いただきありがとうございます。お食事やお部屋にご満足いただけたようで嬉しく思います。しかし、チェックインやチェックアウトにお待たせしてしまい申し訳ございません。より迅速な対応を心がけて改善に努めてまいります。
 

 喫煙所についてもご不便をおかけし、重ねてお詫び申し上げます。より快適にお過ごしいただけるよう、環境の見直しを検討いたします。
 

 貴重なご意見をありがとうございました。またのご来館を心よりお待ちしております。","この度はご利用いただき、誠にありがとうございます。
 

 お食事やお部屋についてお褒めのお言葉をいただき、嬉しく思っております。  
 

 ただ、チェックインやチェックアウトに時間がかかってしまったこと、また喫煙所の換気についてご不便をおかけし申し訳ありませんでした。お客様の貴重なご意見を参考に、サービスの向上に努めてまいります。  
 

 次回のご訪問を心よりお待ちしております。"
210551739,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,◎新浦安駅から近い。（徒歩3分）（雨にも濡れない）◎新浦安駅は東京から京葉線で1本ただ東京駅の京葉線乗り場は離れている。○駐車場あり（3000円）○ディズニーシー、ランド両方へのシャトルバスあり。△近くにレンタカー屋が無い。（タクシーで行かないといけない）◎朝ごはん美味しかった。ビュッフェで和食洋食夕ごはんは食べてない。◎新浦安駅のアトレにたくさん店がある。夕飯はアトレで食べました。○家族3人で泊まったけど広かった。◎専用の喫煙所が2階にある。エレベーターのそばなので便利。◎セキュリティ良い。カードキーをかざさないと客室の階にはいけないので安心。○値段はそれ相応だけどコスパは十分。だけど、3ヶ月前に予約すればGWでも高くはない。,ja,5,POSITIVE,2025-05-06 17:32:45,"この度は、オリエンタルホテル東京ベイにご宿泊頂き誠にありがとうございます。
また、貴重なお時間をさいてご意見を賜り重ねて御礼申し上げます。
ご意見を拝見し、今回のご滞在がご満足頂けたようで大変嬉しく存じます。
このようなご意見は、私共の励みになります。ありがとうございます。
今以上にお客様にご満足頂けるよう日々努力して参ります。
今後ともオリエンタルホテル東京ベイをご愛顧賜りますようお願い申し上げます。
また、ご宿泊頂けることスタッフ一同心よりお待ち申し上げております。
オリエンタルホテル東京ベイ　スタッフ一同","この度はご宿泊いただき、誠にありがとうございます。お褒めの言葉をたくさんいただき、大変光栄です。特に朝食や施設の便利さについてご満足いただけたようで何よりです。
 

 レンタカーの件に関しては、今後のサービス向上の参考とさせていただきます。次回のご滞在もぜひ楽しみにお待ちしております。またのご利用を心よりお待ち申し上げております。","この度はご利用いただき、ありがとうございます。 
 

 立地やアクセスの良さ、朝食のビュッフェ、清潔感など、多くの点でお客様にご満足いただけたこと、大変嬉しく思います。  
 

 特に新浦安駅からの利便性や、シャトルバスのサービスがご旅行の助けになったようで何よりです。  
 

 また、ご家族でのご滞在において広さや安心感を感じていただけたことは、私たちにとっても喜ばしいです。  
 

 ご指摘いただいた点も今後の参考にさせていただきますので、引き続きのご愛顧を賜りますようお願い申し上げます。  
 

 またのご来店を心よりお待ちしております。"
210384176,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,ディズニーの前日に宿泊しました！2023年にリニューアルされたオリエンタルフロアに泊まりましたが、シャワーヘッドもドライヤーもヘアアイロンもReFa🤍アメニティービュッフェもあり女性にとっては最高です🥰宿泊者ラウンジではドリンクとお菓子が食べ飲み放題で焼きたてのパンケーキもありました🥞また客室にも持って行っていいので部屋でゆっくり楽しめます🍻とても満喫できたのでまた泊まりたいです🏨利用日　2025.04.23,ja,5,POSITIVE,2025-04-29 17:52:49,"この度は、数あるホテルの中からオリエンタルホテル東京ベイをお選びいただきまして、誠にありがとうございました。
当ホテルでのご滞在にご満足いただけたご様子を伺え、嬉しく存じます。
今後とも記念日などはもちろん、機会がございます際にはオリエンタルホテル東京ベイをお選びいただきますよう、心よりお待ち申し上げております。
オリエンタルホテル東京ベイ　スタッフ一同","この度はご宿泊いただきありがとうございます。オリエンタルフロアでのご滞在をお楽しみいただけたようで、大変嬉しく思います。ReFaの設備やアメニティビュッフェ、宿泊者ラウンジのサービスをお気に召していただき、特に女性のお客様にご満足いただけたこと、光栄です。お部屋でのリラックスタイムも充実されたようで、何よりです。
 

 またのご宿泊を心よりお待ちしております。ディズニーでの楽しいひとときを過ごされたことを願っています。次回も素晴らしい滞在となりますように！","ご宿泊いただき、ありがとうございました。
 

 リニューアルされたオリエンタルフロアでの滞在を楽しんでいただけたとのこと、大変嬉しく思います。特にアメニティや宿泊者ラウンジのサービスに満足していただけたようで、私たちも励みになります。
 

 またのご利用を心よりお待ちしております。次回のご宿泊も、ぜひ素敵な時間をお過ごしください。"
210364773,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,ディズニーに行くために利用しました。【良かった点】・ホテル内に24時間営業のコンビニがあり便利であった・ヘアオイルや入浴剤などのアメニティがあった・23時までのラウンジがあり、交換や補充も早く良かった。・お風呂がユニットバスではなくトイレ、浴室が別であった。【良くなかった点】・ベッドの下に一口食べた唐揚げが1つ落ちていた。(私たちは食べてません)気が付いたのが荷物を広げた後、夜中であったため放置した。唐揚げについて、朝にカウンターで報告したが、「はぁ、そうだったんですね」「すみませんでしたー」と返された。先を急いでいたので上に報告してもらうように言いました。・テレビに子どもサイズの手形が3-4つ残っていた。・水道の蛇口に洗剤らしき白い跡がたくさんついていた。・ツインで申し込んだが、部屋に入ったらベッドが4つあった。カウンターに確認したらサービスと言われたが、過剰すぎて部屋が狭い。過剰すぎても不快。空いてる部屋に入れられたのか、次の宿泊者を意識しているのか。設備やアメニティは充実していた。夜寝るだけならとても良いと思った。清掃面はありえない部分が多い。酔いや疲れから怒る気にならなかったが。あと事前チェックインを利用したが、チェックインの有無に関わらず全員同じ列に並ぶので待ち時間がかかる。待ち時間の短縮のため事前チェックインをしたがあまり意味を感じなかった。,ja,3,MIXED,2025-04-29 17:52:49,"この度はオリエンタルホテル東京ベイにご宿泊賜りまして誠にありがとうございます。
又、お忙しい中時間を割いてご投稿頂きました事、重ねて御礼申し上げます。

ご滞在頂きましたお部屋の清掃が行き届いておらず、お疲れのところご不快な思いをさせてしまい大変申し訳ございません。関係部署にしっかりと申し送りし、再発防止に努めてまいります。

この度ご指摘頂きました事を真摯に受け止め、このような事が二度とないようスタッフ一同精進してまいります。

ご多忙の中貴重なご意見頂戴しましてありがとうございます。

オリエンタルホテル東京ベイ　スタッフ一同","口コミをいただき、ありがとうございます。ご滞在の際に多くの問題をおかけしたこと、大変申し訳ございません。特に清掃面で不快な思いをさせてしまったことを深くお詫び申し上げます。
 

 お客様からいただいたご指摘は、真摯に受け止めさせていただき、更なるサービス改善に努めて参ります。事前チェックインや客室の対応についても、今後の改善点として検討いたします。
 

 良かった点として挙げていただいた部分についても感謝申し上げます。お客様にとって、さらに快適なご滞在が提供できるよう努力して参ります。またのご利用をお待ちしております。ありがとうございました。","この度はご利用いただき、ありがとうございます。
 

 便利な施設や充実したアメニティを評価いただけたこと、大変嬉しく思います。
 

 一方で、清掃やチェックインに関するご指摘について、心よりお詫び申し上げます。お客様が快適に過ごすためには、常に清潔さが求められることを再認識いたしました。清掃チームには早急に改善を促し、サービスの向上に努めてまいります。
 

 また、事前チェックインに関する待機時間についても、よりスムーズな運用を目指し、改善策を検討していきます。
 

 貴重なご意見をいただき、深く感謝申し上げます。次回のご利用の際には、より良い環境でお迎えできるよう努めてまいりますので、ぜひまたのご来店をお待ちしております。"
210273292,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,ディズニーリゾートに行く際に毎回宿泊させてもらってます。部屋の綺麗さ、アメニティー、シャワーヘッドとドライヤーはRefaで、お酒、お菓子バイキングとめちゃくちゃサービスの充実さに毎回驚きと感謝を感じます。ただ、Wi-Fiが強ければ言うことなしです！ディズニーを利用される方は本当におすすめです！,ja,4,POSITIVE,2025-04-25 17:11:45,"この度はオリエンタルホテル東京ベイにご宿泊賜りまして誠にありがとうございます。また、ご滞在の感想をお寄せいただき重ねて厚く御礼申し上げます。
お客様のまたのお越しを、心よりお待ち申し上げております。

オリエンタルホテル東京ベイ　スタッフ一同",いつもご利用いただき、誠にありがとうございます。お部屋やサービスにご満足いただけているとのお言葉、大変励みになります。Wi-Fiの強さについてご意見いただき、感謝いたします。今後も皆様により快適にご滞在いただけるよう、改善に努めてまいりますので、またのご利用を心よりお待ちしております。ぜひ、次回も楽しいディズニーリゾートのご利用と合わせてお越しくださいませ。,"ご利用いただきありがとうございます。毎回のご宿泊を心より感謝いたします。
 

 お部屋やサービスにご満足いただけたこと、大変嬉しく思います。特にアメニティやお菓子バイキングを楽しんでいただき、ありがとうございます。
 

 Wi-Fiについての貴重なご意見もいただき、感謝いたします。今後の改善に努めて参りますので、次回はさらに快適にお過ごしいただけるよう努力いたします。
 

 またのご来店をお待ちしております。"
210273293,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,部屋は壁紙などが多少剥がれているところがありますが全体的に清潔で満足です。しかし11階に2泊したのですが24時過ぎまで上と横の部屋の走るような音と物を落とす様な物音が２日とも続き睡眠不足になり体調不良になりました。とても気に入っていたホテルなので残念です。,ja,4,MIXED,2025-04-25 17:11:45,"この度は、数あるホテルの中からオリエンタルホテル東京ベイをお選びいただきまして、誠にありがとうございました。
楽しみにご来館いただいたにもかかわらず、近隣のお部屋からの物音に関しましては、お客様のご期待に沿えず申し訳ございませんでした。
今後もお客様が快適に過ごせるホテルであるようご指摘を糧につとめてまいりますので、これからもよろしくお引立てくださいますようお願い申し上げます。 貴重なご意見をありがとうございました。 またのお越しをスタッフ一同お待ちしております。

オリエンタルホテル東京ベイ　スタッフ一同",この度はご宿泊いただき、また貴重なご意見をありがとうございます。快適にお過ごしいただけなかった点、特に騒音によりご迷惑をおかけしたことを心よりお詫び申し上げます。改善策を検討し、今後同様の事態がないよう努めてまいります。お部屋の清潔さについてお褒めいただき、ありがとうございます。またの機会がありましたら、より快適にお過ごしいただけるようスタッフ一同、全力でお迎えいたします。どうかお身体をご自愛くださいませ。,"この度はご宿泊いただき、誠にありがとうございます。お部屋の清潔さにご満足いただけたとのこと、大変嬉しく思います。
 

 しかしながら、他のお部屋からの騒音により、快適な睡眠をお取りいただけなかったことを心よりお詫び申し上げます。お客様の貴重なご意見を参考にし、今後の改善に努めて参ります。
 

 再度お越しいただける際には、より良い体験を提供できるよう努力いたしますので、ぜひまたのご利用をお待ちしております。"
210026643,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,スタッフさんやバス運転手さん達の対応は親切でしっかりしていてとても良いですディズニーリゾートからも遠くなくホテル近辺にも様々な施設があるので立地も良いと思いますラウンジを利用するならなるべく早い時間が良いと思います、パークから帰ってきてからは混雑していてほぼ使えないです客室の清掃が値段の割には雑かなと感じました。特に水回りと浴室が個人的にはかなり気になりました、一泊だったのでなんとか耐えましたが、連泊で何度も使うのは嫌かな…という感じですあとゴミ箱の中身が濡れていて(何かの食べ物の汁)、すごい臭いでした…涙,ja,3,MIXED,2025-04-25 17:11:46,"この度は、数あるホテルの中からオリエンタルホテル東京ベイをお選びいただきまして、誠にありがとうございました。
楽しみにご来館いただいたにもかかわらず、お部屋の清掃に関しましては、お客様のご期待に沿えず申し訳ございませんでした。
今後もお客様が快適に過ごせるホテルであるようご指摘を糧につとめてまいりますので、これからもよろしくお引立てくださいますようお願い申し上げます。 貴重なご意見をありがとうございました。 またのお越しをスタッフ一同お待ちしております。

オリエンタルホテル東京ベイ　スタッフ一同","ご滞在いただき、ありがとうございます。スタッフや立地に関するお褒めの言葉、感謝申し上げます。しかしながら、客室の清掃についてご期待に沿えず、申し訳ございませんでした。特に水回りや浴室、ゴミ箱の清掃が行き届いていなかった点については、今後の改善に努めてまいります。
 

 ラウンジの利用状況についても貴重なご意見をいただき感謝いたします。お客様の快適な滞在をお約束できるよう、サービス向上に努めます。またのご利用を心よりお待ちしております。","ご意見いただきありがとうございます。
 

 スタッフやバス運転手に対する温かいお言葉、大変嬉しく思います。立地やラウンジのご利用についても貴重なご指摘、感謝いたします。
 

 しかしながら、客室の清掃に関してご不快な思いをさせてしまい申し訳ありませんでした。水回りや浴室の状態、ゴミ箱の件については、早急に改善に取り組んで参ります。
 

 貴重なご意見をありがとうございました。次回はより良い体験を提供できるよう努力いたしますので、またのご利用をお待ちしております。"
209916724,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,施設は綺麗で、朝食バイキングも美味しい。エレベーターが4つしかないので朝夕は渋滞する。,ja,4,POSITIVE,2025-04-17 18:05:58,"この度は、オリエンタルホテル東京ベイにご宿泊いただきまして、誠にありがとうございます。
当ホテルでのご滞在もお楽しみいただけたご様子を伺え、嬉しく存じます。
これからも皆様に愛され、選ばれるホテルであるよう、施設にもサービスにも、さらなる向上を目指してまいります。またのお越しを、スタッフ一同、心よりお待ち申し上げております。
オリエンタルホテル東京ベイ　スタッフ一同",ご意見ありがとうございます。施設や朝食バイキングをお楽しみいただけたようで嬉しいです。エレベーターの混雑について、ご不便をおかけし申し訳ございません。この点につきまして、改善策を検討してまいります。またのお越しを心よりお待ちしております。,"ご利用ありがとうございます。施設を気に入っていただけたこと、大変嬉しく思います。朝食バイキングを楽しんでいただいたとのことで、何よりです。  
 

 一方で、エレベーターの混雑についてご不便をおかけし申し訳ありません。ご指摘いただき感謝いたします。今後の運営改善に活かして参りますので、またのご来店をお待ちしております。"
209916725,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,使い勝手の良いホテルだと思います。,ja,4,POSITIVE,2025-04-16 17:51:15,"この度はオリエンタルホテル東京ベイにご宿泊賜りまして誠にありがとうございます。また、ご滞在の感想をお寄せいただき重ねて厚く御礼申し上げます。
お客様のまたのお越しを、心よりお待ち申し上げております。

オリエンタルホテル東京ベイ　スタッフ一同",お客様、このたびはご利用いただきありがとうございます。「使い勝手が良い」というお言葉をいただき、大変嬉しく思っております。今後もさらに快適にお過ごしいただけるよう努力してまいりますので、またのご利用を心よりお待ちしております。,"ご来館いただきありがとうございます。 
 

 ホテルの使い勝手についてお褒めの言葉をいただき、嬉しく思います。 
 

 さらなる快適さを提供できるよう、今後も改善に努めてまいりますので、またのご利用をお待ちしております。"
209211489,オリエンタルホテル 東京ベイ,オリエンタルホテル 東京ベイ,,好評のビッフェを聞きつけ来訪。味と質ともに満足が行くものでしたがそう少し種類があってもいいのかなと思った。ディズニーが近い事もあり 泣きじゃくる小さな子供やテンション高めに外国人が多いのは仕方がない事と解釈、落ち着いた雰囲気ではない,ja,4,NONE,2025-04-15 17:58:05,"オリエンタルホテル東京ベイにご宿泊頂き誠にありがとうございました。
お褒めのお言葉を頂き光栄でございます。
朝食は素敵な朝のひとときをお過ごしいただけるようバラエティー豊かなメニューをご用意させて頂きました。
今後もお客様のご意見を参考に改善をして参ります。
またディズニーリゾートへお越しの際は、ぜひオリエンタルホテル東京ベイを選んで頂ければ幸いでございます。またのご来館をお待ちしております。","この度はご来店いただき、心より感謝申し上げます。ビュッフェの味と質にご満足いただけたとのこと、大変嬉しく思います。種類についてのご意見は、今後の改善に役立てさせていただきます。
 

 お店の雰囲気について、ご不便をおかけして申し訳ございません。皆様に快適にお過ごしいただけるよう、更なる工夫を考えてまいります。
 

 またのご来店をお待ちしております。貴重なご意見をありがとうございました。","ご来店いただき、誠にありがとうございます。ビッフェを楽しんでいただけたとのお言葉、大変嬉しく思います。  
 

 種類についての貴重なご意見、ありがとうございます。今後の参考にさせていただきます。  
 

 また、お子様や外国のお客様が多い環境についてに関しても、ご理解いただき感謝いたします。皆様にとって心地よい空間を提供できるよう、努力してまいります。  
 

 またのご来店をお待ちしております。"
